,covid_cases_geocode
1675,1706001
1676,2304269
1677,4308904
1678,2104552
1679,2404507
1680,2506400
1681,3519055
1682,2914901
1683,3521903
1684,2607802
1685,5211800
1686,2918803
1687,2919504
1688,2307809
1689,2509156
1690,3140506
1691,3531506
1692,2308708
1693,3144102
1694,2922607
1695,2207009
1696,2705705
1697,2923209
1698,2408508
1699,2310258
1700,3537206
1701,4212601
1702,3538204
1703,3539103
1704,2208403
1705,4314779
1706,2707305
1707,3541109
1708,4213906
1709,2109106
1710,3153202
1711,2209005
1712,3546207
1713,5219308
1714,3548054
1715,3548203
1716,4217501
1717,3552106
1718,1303957
1719,2708808
1720,4320909
1721,4321667
1722,3554953
1723,1304302
1724,2211407
1725,1600105
1726,3503406
1727,2700409
1728,5202809
1729,1501105
1730,1501576
1731,2102101
1732,2202000
1733,2102325
1734,2905156
1735,3109907
1736,2905800
1737,1100809
1738,2303204
1739,2603926
1740,2604304
1741,2103174
1742,4305504
1743,3301504
1744,4305900
1745,2801702
1746,4306106
1747,2203503
1748,2506004
1749,2104057
1750,3125309
1751,2606309
1752,1709302
1753,1301704
1754,3202603
1755,1503309
1756,2606903
1757,3130556
1758,2306108
1759,1503507
1760,3133006
1761,2916104
1762,1302009
1763,4208005
1764,2306801
1765,2608602
1766,2919058
1767,2608800
1768,3203320
1769,4311908
1770,2307908
1771,2804003
1772,2705101
1773,2308377
1774,1504604
1775,5214606
1776,1504950
1777,2107407
1778,2609709
1779,2609907
1780,4118303
1781,4213401
1782,3151701
1783,4316709
1784,3304607
1785,1507201
1786,2209708
1787,2613305
1788,3305133
1789,3164209
1790,1600709
1791,2615201
1792,4321956
1793,4321857
1794,4218806
1795,2932200
1796,1304401
1797,2616001
1798,4219606
1799,2600401
1800,2300101
1801,2800506
1802,1702554
1803,3504206
1804,2201200
1805,2102002
1806,1501600
1807,1300805
1808,4104105
1809,4304358
1810,2801207
1811,4305587
1812,2103554
1813,2202901
1814,4105300
1815,4306320
1816,2203750
1817,4205308
1818,2304509
1819,4309605
1820,4206900
1821,3520004
1822,5210109
1823,2305803
1824,2404853
1825,3302056
1826,1101104
1827,3524105
1828,2607950
1829,2508307
1830,2106300
1831,2509107
1832,1504505
1833,3141801
1834,2308401
1835,2206407
1836,4118006
1837,3149309
1838,2208205
1839,5106505
1840,3540903
1841,2611408
1842,2806008
1843,2806107
1844,3546603
1845,2409332
1846,2928000
1847,3305158
1848,1507466
1849,1720200
1850,1708254
1851,5221809
1852,2211209
1853,2100436
1854,2100600
1855,2800209
1856,2902005
1857,4201307
1858,2500809
1859,3200706
1860,3200805
1861,3200904
1862,3506805
1863,3508702
1864,2504207
1865,2103406
1866,3512001
1867,3201605
1868,3201704
1869,3512902
1870,3512803
1871,3201803
1872,3202009
1873,2910008
1874,3202108
1875,4308102
1876,2605608
1877,4205506
1878,3202256
1879,3517703
1880,3202454
1881,3202553
1882,3202702
1883,3202900
1884,3203007
1885,2917706
1886,3203056
1887,5104906
1888,2803401
1889,5212055
1890,2406601
1891,3203163
1892,3527009
1893,2307635
1894,3139508
1895,3203304
1896,4210407
1897,3203353
1898,2921005
1899,3203403
1900,3203502
1901,2206654
1902,3203601
1903,3203700
1904,3203809
1905,2408300
1906,4117008
1907,3533502
1908,2107456
1909,2706208
1910,2207504
1911,4212106
1912,3204005
1913,2706703
1914,2108454
1915,2611002
1916,2108603
1917,3204104
1918,3538303
1919,3204252
1920,1718204
1921,4120333
1922,2208650
1923,3542404
1924,3543006
1925,4121901
1926,3204351
1927,2927507
1928,4215554
1929,2612703
1930,3548005
1931,4317509
1932,2929909
1933,2111763
1934,2413359
1935,3204658
1936,2929107
1937,1507300
1938,2613503
1939,2514602
1940,2111508
1941,2412609
1942,2210508
1943,4217808
1944,4217956
1945,4218301
1946,3169307
1947,4322152
1948,3555109
1949,2807600
1950,3205036
1951,3205150
1952,4323606
1953,1722081
1954,4323804
1955,4219853
1956,3200169
1957,4200507
1958,3200136
1959,3501301
1960,2600104
1961,2600203
1962,2500601
1963,3102001
1964,2100873
1965,2902252
1966,2200905
1967,1702901
1968,1501204
1969,1703057
1970,2700607
1971,2700706
1972,2201770
1973,3107901
1974,2701100
1975,2401800
1976,4104709
1977,2702306
1978,2304251
1979,1100940
1980,1502939
1981,2304608
1982,2104651
1983,3518602
1984,2105005
1985,3129608
1986,1503457
1987,3133709
1988,4111308
1989,1503804
1990,4311106
1991,2704005
1992,2704104
1993,2106003
1994,4113809
1995,1504307
1996,2920502
1997,2920700
1998,2308203
1999,3142403
2000,1504703
2001,3144003
2002,1200336
2003,1714880
2004,4313706
2005,3535606
2006,3535804
2007,2706604
2008,2409902
2009,2109007
2010,3541307
2011,2512804
2012,3544004
2013,4316436
2014,3545159
2015,2513307
2016,4123907
2017,2928604
2018,3551108
